Customer,Time of arrival,Number of people at arrival,Number of people currently in queue at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
158,1511.75,1,0,7,1,1511.75,1523.44,0,
159,1524.94,1,0,8,1,1524.94,1525.78,0,
160,1533.77,1,0,9,1,1533.77,1561.94,0,
161,1550.22,2,0,11,1,1561.94,1573.48,11.7241,
162,1583.2,1,0,14,1,1583.2,1590.85,0,
163,1595.58,1,0,15,1,1595.58,1617.4,0,
164,1602.55,2,0,16,1,1617.4,1617.41,14.8464,
165,1610.97,3,1,17,1,1617.41,1623.76,6.4425,
166,1617.24,4,2,17,1,1623.76,1631.83,6.51599,
167,1625.88,2,0,18,1,1631.83,1631.99,5.95312,
168,1625.96,3,1,18,1,1631.99,1632.66,6.02844,
169,1634.41,1,0,19,1,1634.41,1635.13,0,
170,1638.44,1,0,19,1,1638.44,1639.7,0,
171,1672.43,1,0,23,1,1672.43,1674.01,0,
172,1677.12,1,0,23,1,1677.12,1678.25,0,
173,1697.3,1,0,25,1,1697.3,1715.54,0,
174,1698.42,2,0,25,1,1715.54,1720.08,17.1207,
175,1707.58,3,1,26,1,1720.08,1733.77,12.4982,
176,1708.95,4,2,26,1,1733.77,1740.11,24.8113,
177,1720.75,3,1,28,1,1740.11,1743.42,19.3557,
178,1731.42,4,2,29,1,1743.42,1757.08,11.999,
179,1738.28,4,2,29,1,1757.08,1765.11,18.796,
180,1742.84,4,2,30,1,1765.11,1779.02,22.2682,
181,1745.34,4,2,30,1,1779.02,1783.6,33.6862,
182,1775.3,3,1,33,1,1783.6,1798.22,8.30286,
183,1786.36,2,0,34,1,1798.22,1798.6,11.8641,
184,1789.1,3,1,34,1,1798.6,1800.94,9.50354,
185,1799.07,2,0,35,1,1800.94,1802.69,1.8728,
186,1832.06,1,0,39,1,1832.06,1834.14,0,
187,1834.73,1,0,39,1,1834.73,1840.27,0,
188,1842.55,1,0,40,1,1842.55,1843.08,0,
189,1852.87,1,0,41,1,1852.87,1858.11,0,
190,1864.94,1,0,42,1,1864.94,1872.33,0,
191,1869.12,2,0,42,1,1872.33,1878.48,3.21606,
192,1872.64,2,0,43,1,1878.48,1886.37,5.83948,
193,1932.47,1,0,49,1,1932.47,1935.25,0,
194,1936.98,1,0,49,1,1936.98,1938.61,0,
195,1947.41,1,0,50,1,1947.41,1949.18,0,
196,1949.99,1,0,50,1,1949.99,1952.95,0,
197,1952.68,2,0,51,1,1952.95,1953.18,0.261108,
198,1975.39,1,0,53,1,1975.39,1976.4,0,
199,1976.85,1,0,53,1,1976.85,1982.51,0,
200,1979.8,2,0,53,1,1982.51,1987.62,2.7063,
201,1986.93,2,0,54,1,1987.62,1997.09,0.696045,
202,1994.94,2,0,55,1,1997.09,1998.34,2.15808,
203,2015.69,1,0,57,1,2015.69,2018.18,0,
