Customer,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Number of people at station 0 at arrival,Number of people in queue at station 0 at arrival,Number of active servers in station 0,Number of people at station 1 at arrival,Number of people in queue at station 1 at arrival,Number of active servers in station 1,Time of start of service,Departure time,Wait time,
101,1708.54,1,26,1,1,0,5,0,0,1,1718.38,1723.41,9.8446,
102,1774.88,1,33,1,1,0,5,0,0,1,1783.98,1787.8,9.09521,
103,1810.25,1,37,1,1,0,5,0,0,1,1820.09,1824.43,9.8374,
104,1813.21,2,37,1,2,0,5,0,0,1,1824.85,1829.03,11.6432,
105,1836.52,1,39,1,1,0,5,0,0,1,1845.74,1851.51,9.21582,
106,1845.18,2,40,1,2,0,5,0,0,1,1853.52,1857.82,8.33374,
107,1848.05,3,40,1,2,0,5,1,0,1,1866.26,1873.75,18.2058,
108,1850.66,4,41,1,3,0,5,1,0,1,1860.02,1866.26,9.36011,
109,1873.08,2,43,1,1,0,5,1,0,1,1882.47,1887.06,9.39929,
110,1876.65,2,43,1,2,0,5,0,0,1,1887.06,1890.63,10.413,
111,1880.09,3,44,1,3,0,5,0,0,1,1890.63,1896.98,10.5369,
112,1886.14,4,44,1,3,0,5,1,0,1,1897.05,1903.04,10.9092,
113,1888.76,4,44,1,3,0,5,1,0,1,1897.95,1904.45,9.19165,
114,1904.82,1,46,1,1,0,6,0,0,2,1913.33,1921.28,8.50818,
115,1916.29,2,47,1,1,0,6,1,0,2,1924.71,1930.73,8.41614,
116,1944.73,1,50,1,1,0,6,0,0,2,1953.22,1957.5,8.49365,
117,1969.61,1,52,1,1,0,6,0,0,2,1981.17,1988.66,11.5598,
118,1983.65,2,54,1,1,0,6,1,0,2,1992.42,1998.1,8.76636,
119,1994.2,2,55,1,1,0,6,1,0,2,2004.18,2008.49,9.98413,
120,1995.52,3,55,1,2,0,6,1,0,2,2005.91,2009.99,10.3884,
121,2009.32,2,56,1,1,0,6,1,0,2,2021.16,2028.66,11.8477,
122,2010.56,2,57,1,2,0,6,0,0,2,2019.06,2025.91,8.49365,
123,2017.03,3,57,1,3,0,6,0,0,2,2027.83,2033.47,10.799,
124,2021,4,58,1,3,0,6,1,0,2,2032.74,2037.08,11.7371,
125,2025.51,5,58,1,3,0,6,2,0,2,2035.08,2043.74,9.5636,
126,2048.4,1,60,1,1,0,6,0,0,3,2060.79,2063.95,12.3962,
127,2081,1,64,1,1,0,9,0,0,4,2092.86,2097.57,11.8628,
128,2090.5,2,65,1,2,0,9,0,0,4,2099.94,2104.89,9.43994,
129,2100.57,2,66,1,1,0,9,1,0,4,2111.17,2115.4,10.5935,
130,2100.96,3,66,1,2,0,9,1,0,4,2112.09,2117.38,11.1367,
131,2104.46,4,66,1,3,0,9,1,0,4,2114.64,2117.67,10.1819,
132,2111.59,4,67,1,3,0,9,1,0,4,2121.38,2126.11,9.78882,
133,2115.85,4,67,1,2,0,9,2,0,4,2127.87,2130.9,12.0225,
134,2117.92,3,67,1,3,0,9,0,0,4,2130.32,2136.22,12.3962,
135,2130.8,3,69,1,1,0,9,2,0,4,2141.17,2147.26,10.3721,
136,2137,2,69,1,2,0,9,0,0,4,2148.93,2154.57,11.9302,
137,2146.35,3,70,1,2,0,9,1,0,4,2157.05,2164.55,10.7095,
138,2149.93,3,70,1,2,0,9,1,0,4,2162.52,2167.8,12.5896,
139,2167.48,2,72,1,1,0,9,1,0,4,2178.42,2181.05,10.9368,
140,2178.48,2,73,1,1,0,9,1,0,4,2187.77,2190.52,9.2915,
141,2186.29,2,74,1,2,0,9,0,0,4,2196.32,2201.11,10.0308,
142,2194.66,2,75,1,2,0,9,0,0,4,2205.4,2210.13,10.7351,
143,2206.91,2,76,1,1,0,9,1,0,4,2216.41,2221.8,9.50342,
144,2212.31,2,77,1,2,0,9,0,0,4,2220.85,2229.73,8.53809,
145,2225.85,2,78,1,1,0,9,1,0,4,2236.63,2242.44,10.7839,
146,2226.54,3,78,1,2,0,9,1,0,4,2234.66,2238.58,8.12085,
147,2228.91,4,78,1,3,0,9,1,0,4,2241.23,2248.28,12.3218,
148,2234.89,4,79,1,3,0,9,1,0,4,2243.4,2247.88,8.50537,
149,2237.79,5,79,1,3,0,9,2,0,4,2247.22,2251.86,9.42847,
150,2243.63,4,80,1,2,0,9,2,0,4,2253.23,2257.3,9.59985,
151,2247.52,5,80,1,2,0,9,3,0,4,2255.66,2261.72,8.14282,
152,2252.32,3,81,1,3,0,9,0,0,4,2264.19,2271.13,11.8667,
153,2285.52,1,84,1,1,0,9,0,0,4,2294.66,2297.54,9.13989,
154,2288.44,2,84,1,2,0,9,0,0,4,2298.26,2305.98,9.81592,
